word,frequency
Euro,3664
Polizei,3441
Deutschland,2925
Trump,2602
Berlin,1864
Corona,1859
Bayern,1568
Fans,1490
Leben,1487
Kinder,1395
Zustimmung,1381
Trainer,1202
Familie,1126
Saison,1106
Spieler,1063
Mutter,932
USA,920
Biden,908
Berliner,903
Polizisten,895
Geld,891
Merkel,786
Auto,774
Donald,769
Frauen,761
Krankenhaus,753
Präsident,748
Kind,732
Nawalny,717
Deutschen,713
Köln,710
München,708
CDU,703
Hamburg,698
Sohn,685
Quarantäne,677
Vater,670
Einsatz,667
Leipzig,661
Tochter,648
Eltern,644
Angst,631
Sieg,628
Europa,600
Lukaschenko,598
Mitarbeiter,597
Mannschaft,595
Opfer,595
Zuschauer,594
Staatsanwaltschaft,591
