word,frequency
Trump,198
Biden,132
Klimawandel,72
Feuer,56
Kalifornien,53
Joe,50
Donald,41
USA,41
Brände,39
Harris,35
Präsident,34
Waldbrände,31
Wald,31
Demokraten,30
Flammen,29
US-Präsident,27
Wahl,25
Deutschland,24
Leben,22
Kamala,22
Obama,20
Bidens,19
AFP,18
Winter,17
Kampf,16
Meter,16
Präsidenten,15
Bäume,15
Wälder,15
Sloterdijk,15
Debatte,14
Pence,14
Klima,14
Feuerwehrleute,14
AP,13
Alexander,13
Grad,13
New,13
Öl,13
Duell,12
Amerikaner,12
Susanne,12
Erde,12
Barrett,12
Paradise,12
Sohn,11
Hunter,11
Rede,11
Held,11
Israel,11
