word,frequency
Trump,412
Biden,230
Rassismus,135
Donald,123
Polizei,119
Harris,104
Joe,97
USA,87
Obama,87
Polizisten,81
Präsident,70
Kamala,59
Demokraten,53
USPräsident,51
Deutschland,47
Präsidenten,42
Amerika,42
Floyd,42
Polizeigewalt,40
George,38
Seehofer,38
Spieler,38
Wahl,37
Neymar,36
Leben,35
Berlin,35
Beamten,34
Post,34
Bayern,33
Saison,33
York,33
Blake,33
New,32
Mitarbeiter,32
Namen,32
Kampf,31
Gruppe,30
NFL,30
Amerikaner,29
Kinder,29
Barack,28
Weiße,28
Trainer,28
Familie,27
Kenosha,27
Schüsse,26
Rechtsextremismus,26
Duell,26
Bidens,26
Opfer,25
