word,frequency
Deutschland,3726
Trump,3699
Euro,3278
Unternehmen,2059
Pandemie,1883
Polizei,1873
Berlin,1852
Präsident,1834
Regierung,1686
Corona-Pandemie,1412
Biden,1326
Leben,1323
Frankfurt,1313
Vereinigten-Staaten,1284
Corona-Krise,1173
Deutschen,1127
Corona,1125
Virus,1100
Wirtschaft,1079
Neuinfektionen,1071
Dollar,1013
Donald,1005
Coronavirus,999
München,969
Wahl,953
Geld,951
Europa,947
Amerika,946
Frauen,941
Politik,915
Kinder,897
Bayern,883
Arbeit,877
Maßnahmen,870
EU,847
Russland,844
China,844
Partei,829
Präsidenten,815
Kritik,807
Berliner,797
Trainer,788
Spieler,767
Frankreich,754
Saison,746
Krise,745
Bundesregierung,734
Mitarbeiter,719
Paris,704
Deutsche,702
