word,frequency
Klimawandel,242
Trump,186
Biden,159
Deutschland,78
Politik,68
Kalifornien,68
Präsident,67
Wald,63
Harris,61
Bäume,60
Klimawandels,57
Sraffa,57
Corona,56
Grünen,53
Zukunft,51
Pandemie,48
Joe,47
Klimaschutz,47
Kampf,45
Feuer,44
Ökonomen,44
Klima,43
Merkel,43
CoronaPandemie,43
Wirtschaft,42
Thunberg,41
Leben,40
Klimakrise,40
Präsidenten,39
Waldbrände,39
Greta,39
Demokraten,38
VereinigtenStaaten,38
Wissenschaft,38
Sraffas,38
Future,37
Westen,37
Sommer,37
Forscher,35
Neubauer,35
Natur,34
Wahl,34
Amerika,33
Wissenschaftler,33
Regierung,33
Oregon,33
Wasser,32
Newsom,32
Aktivisten,31
Krise,31
