word,frequency
Trump,686
Biden,506
Rassismus,332
Polizei,279
Präsident,191
Polizisten,168
VereinigtenStaaten,147
Donald,133
Joe,121
Amerika,117
Präsidenten,112
Wahl,104
Polizeigewalt,103
Neymar,99
Deutschland,97
Opfer,92
Demokraten,88
Proteste,85
Gewalt,85
Hanau,84
Harris,83
Beamten,81
Debatte,79
Blake,79
York,76
Seehofer,76
Familie,73
Leben,72
George,70
Kenosha,70
Halle,67
Tod,66
Frauen,64
Amerikaner,64
Gruppe,63
Floyd,63
New,62
Bundesstaat,62
Rechtsextremismus,61
Obama,60
Boys,58
Republikaner,53
Partei,52
Demonstranten,52
Protesten,52
Rede,51
Problem,50
Mitarbeiter,50
Pandemie,49
Medien,49
