word,frequency
Euro,12187
Trump,11579
Deutschland,8918
Biden,4425
Todesfälle,4190
USA,3828
Berlin,3235
Geld,3001
Polizei,2997
Präsident,2944
Bayern,2862
Coronavirus,2776
Donald,2741
Pandemie,2740
Corona-Pandemie,2671
Neuinfektionen,2571
Ball,2565
Leben,2488
Unternehmen,2448
Corona,2445
Hamburg,2272
Kinder,2271
Maßnahmen,2257
Harry,2076
Deutschen,2032
Regierung,2006
Wahl,1962
Dollar,1935
Merkel,1931
Virus,1899
Corona-Krise,1851
Deutsche,1795
Meghan,1779
Fälle,1739
Familie,1687
Mitte,1628
US-Präsident,1626
Europa,1600
Prinz,1583
Fans,1582
Joe,1539
EU,1538
Situation,1505
Wirtschaft,1498
Zverev,1489
Berliner,1487
Experten,1475
Tor,1415
Vettel,1408
München,1406
