word,frequency
Euro,9194
Unternehmen,8377
Deutschland,5420
USA,3962
Dollar,3707
Trump,3571
Coronakrise,3199
Wirtschaft,2360
Berlin,2319
Bank,2269
Kunden,2240
Pandemie,2212
Europa,2160
Quartal,2133
China,2131
Dax,2124
Anleger,1939
Investoren,1894
Geld,1857
Krise,1782
EU,1779
Aktien,1713
Regierung,1712
Konzern,1650
Corona-Pandemie,1574
Bundesregierung,1529
Scholz,1487
Börse,1443
Mitarbeiter,1442
Markt,1432
Biden,1429
Banken,1404
Corona,1393
Düsseldorf,1347
Entwicklung,1314
Aktie,1314
Firmen,1291
Daten,1269
Umsatz,1255
Politik,1250
Präsident,1231
Deutschen,1224
Geschäft,1214
Frankfurt,1199
Deutsche,1157
Wirecard,1118
Zukunft,1068
Donald,1014
Wahl,1012
Merkel,1007
