word,frequency
Unternehmen,340
Scholz,291
Biden,267
Trump,263
Euro,229
Harris,215
Europa,198
Deutschland,197
Klimawandel,187
USA,178
Wirtschaft,151
China,151
EZB,149
EU,138
Lagarde,120
Pandemie,117
Coronakrise,110
Krise,107
Geld,106
Corona,91
Politik,89
Dollar,81
Debatte,77
Firmen,75
Investitionen,75
Zukunft,74
Klimaschutz,74
Joe,69
Inflation,69
Kunden,66
Donald,65
Mitarbeiter,64
Merz,64
Wasserstoff,64
Investoren,64
Regierung,62
Berlin,61
Partei,60
SPD,58
Hopp,58
CoronaPandemie,57
Präsident,57
Bank,57
Nachhaltigkeit,56
Union,56
Geschäft,55
Markt,54
Strategie,54
Leben,53
Geldpolitik,53
