word,frequency
Trump,356
Biden,180
USA,115
Unternehmen,87
Rassismus,79
Obama,78
Demokraten,75
Präsident,73
Donald,66
Harris,61
Joe,57
Polizei,44
Dollar,43
Amerika,42
Wahl,40
Weißen,40
Steuern,39
Clinton,38
Präsidenten,38
Rede,38
Pandemie,37
Geld,37
Partei,36
Republikaner,35
China,34
NRA,34
Proteste,32
Leben,31
Ungleichheit,31
Washington,30
USPräsident,29
Kenosha,29
Parteitag,28
York,27
New,27
Kamala,26
Studie,26
Warren,26
Polizisten,25
Aktien,25
Wahlkampf,24
SPD,24
Jobs,23
Kandidaten,23
Bidens,23
Wirtschaft,23
Demonstranten,23
Portland,23
Deutschland,23
Senatorin,22
