word,frequency
Trump,4685
Deutschland,4265
Euro,3156
USA,2350
Polizei,2162
Berlin,2075
Regierung,1945
Pandemie,1808
Unternehmen,1729
Donald,1676
Coronavirus,1602
Präsident,1564
Biden,1499
Leben,1489
Kinder,1474
Frauen,1437
Coronakrise,1434
Virus,1378
Corona,1251
EU,1246
Corona-Pandemie,1235
Maßnahmen,1205
Wahl,1120
Deutschen,1050
Behörden,1030
Merkel,1026
Geld,1018
Bayern,1001
Familie,992
Bundesregierung,990
China,961
Daten,947
Europa,942
Partei,893
Arbeit,881
Schulen,874
Russland,870
Leute,852
Frankreich,842
Neuinfektionen,839
Politik,829
Studie,822
Nawalny,821
Mitte,809
Joe,806
Berliner,800
Präsidenten,800
Situation,791
Eltern,791
Problem,778
