word,frequency
Klimawandel,258
Deutschland,175
Trump,166
USA,105
Kalifornien,104
Biden,102
Wasser,92
Feuer,89
Forscher,79
Politik,70
Pandemie,66
Sommer,66
Brände,61
Wald,60
Maßnahmen,60
Corona,59
Maske,59
Studie,58
Eis,56
Leben,54
Virus,53
Gesellschaft,51
Donald,51
Berlin,51
EU,51
Region,49
Flammen,49
Grad,48
Problem,48
Arktis,47
Waldbrände,46
Euro,45
Wissenschaft,44
Klimaschutz,44
Wissenschaftler,44
Bäume,44
Coronakrise,44
Situation,44
Temperaturen,43
Neuinfektionen,43
Erde,42
Joe,42
Krise,42
Leute,41
Europa,41
Regierung,40
Regionen,39
CoronaPandemie,39
Coronavirus,39
Kampf,37
