word,frequency
Trump,1652
Biden,649
Donald,408
USA,331
USPräsident,306
Wahl,300
Klimawandel,275
Präsident,273
Joe,246
Demokraten,246
Harris,203
Pandemie,151
Präsidenten,148
Briefwahl,140
Post,138
Regierung,133
China,131
Coronavirus,130
Virus,125
Republikaner,125
Weißen,120
Russland,109
Wissenschaft,107
Kalifornien,107
Herausforderer,106
Maske,105
Dollar,104
Wähler,99
Partei,97
CoronaPandemie,94
Washington,94
München,94
Pence,93
EU,89
Deutschland,87
Zukunft,87
Wahlkampf,87
Obama,85
Euro,78
Leben,78
Parteitag,78
Wahlkampfteam,78
CoronaKrise,77
Wasser,76
Kampf,75
Präsidentenwahl,75
Bäume,74
Geld,74
Experten,74
Debatte,73
