word,frequency
München,7407
Bayern,7202
Trump,7080
Euro,6574
Deutschland,5827
Polizei,4757
Söder,4620
Coronavirus,4370
Maskenpflicht,4359
Neuinfektionen,3901
Schulen,3832
Pandemie,3734
Quarantäne,3567
Maßnahmen,2947
USA,2895
Kinder,2889
Corona,2786
Schüler,2785
Virus,2769
Münchner,2634
Berlin,2631
Infektionen,2594
Biden,2593
Regierung,2509
Coronakrise,2466
Coronapandemie,2410
Infektionszahlen,2305
Sprecher,2182
Regeln,2179
Ministerpräsident,2134
Präsident,2083
Daten,2033
Leben,1976
Markus,1957
Tests,1848
Maske,1811
Freistaat,1790
Fälle,1781
Wahl,1777
Staatsregierung,1763
Mitarbeiter,1749
Donald,1709
Feiern,1696
Unterricht,1658
Veranstaltungen,1650
Unternehmen,1630
Schule,1626
Deutschen,1608
Gesundheit,1595
Lehrer,1587
