word,frequency
Trump,2421
Biden,1006
Donald,634
Wahl,494
USA,482
USPräsident,457
Demokraten,435
Präsident,421
Joe,393
Klimawandel,364
Pandemie,358
Regierung,297
Post,297
Präsidenten,280
Briefwahl,279
Harris,271
Coronavirus,261
Virus,212
CoronaPandemie,209
Republikaner,200
New,191
Russland,188
Wissenschaft,182
Obama,182
Wähler,168
Weißen,167
China,162
Washington,156
Herausforderer,154
CoronaKrise,151
Deutschland,148
Dollar,148
Richter,143
Maske,140
Kalifornien,140
Euro,139
Zukunft,138
DeJoy,135
Partei,131
Klimakrise,131
Leben,131
München,128
Parteitag,126
Kritik,122
Landes,122
Pelosi,121
Impfstoff,120
Rassismus,120
Politik,120
Masken,118
