word,frequency
Deutschland,2669
Berlin,1944
Polizei,1684
Trump,1502
Euro,1476
Regierung,1397
USA,1289
Frauen,1256
Leben,1206
Corona,1113
Kinder,973
Berliner,962
Präsident,901
Pandemie,888
Politik,839
Leute,832
Geld,811
Partei,808
Belarus,767
EU,760
Gewalt,742
Arbeit,736
Familie,699
Unternehmen,685
Bundesregierung,673
Problem,669
Gesellschaft,664
SPD,651
Wahl,649
Medien,630
Maßnahmen,625
Grünen,619
Studie,610
Staat,604
Europa,579
Männer,577
Behörden,571
Merkel,571
Virus,570
Schulen,569
Kritik,567
Lukaschenko,561
Situation,531
Deutschen,530
Israel,527
Bevölkerung,527
Russland,519
Mutter,511
Wasser,506
Angst,504
