word,frequency
Klimakrise,282
Klimawandel,254
Wasser,234
Trump,172
Deutschland,163
Klimaschutz,163
USA,144
Wald,144
Grünen,140
Future,139
CO,137
Fridays,129
Politik,110
Bäume,104
Biden,103
Zukunft,98
Grad,96
Corona,95
Berlin,89
Klima,86
Leute,86
Natur,86
Euro,84
Aktivistinnen,82
Problem,79
Regierung,77
Geld,74
Leben,73
Studie,72
Bewegung,71
Partei,70
Europa,70
Frauen,69
Staaten,68
Landwirtschaft,62
Gesellschaft,60
Kalifornien,59
EU,59
Bevölkerung,57
Klimabewegung,57
Pandemie,56
Bundesregierung,55
Projekt,54
Boden,53
New,52
China,52
Wahl,52
Umwelt,51
Probleme,51
Emissionen,51
