word,frequency
Polizei,820
Rassismus,736
Trump,525
Deutschland,440
Berlin,309
Frauen,278
Biden,276
USA,260
Polizisten,250
Gesellschaft,248
Leben,233
Problem,214
Studie,205
Gewalt,200
Reul,193
Leute,192
Seehofer,188
Politik,173
Berliner,158
Opfer,158
Familie,152
Kinder,150
Vertrauen,145
Partei,145
Kampf,143
SPD,139
Staat,135
Gruppe,134
AfD,134
Arbeit,133
Fälle,129
Kritik,129
Debatte,127
New,125
Hanau,125
Rechtsextremismus,122
Männer,120
Eltern,118
Vater,118
Mutter,115
Antisemitismus,113
Polizistinnen,112
Demokratie,111
Donald,110
Medien,107
Tekin,104
Müller,101
Angst,101
Amani,100
Namen,99
