word,frequency
Deutschland,6905
Euro,4856
Trump,4350
Berlin,2952
Polizei,2857
Neuinfektionen,2825
Pandemie,2700
Coronavirus,2683
USA,2321
Unternehmen,2213
Virus,2131
Kinder,2050
Fälle,1918
Hamburg,1894
Regierung,1840
Corona,1803
Leben,1790
Deutschen,1686
Biden,1673
Europa,1635
Infektionen,1526
Präsident,1500
Maßnahmen,1463
EU,1435
Frankreich,1392
Frauen,1382
Berliner,1378
Merkel,1359
Corona-Krise,1347
Geld,1330
RKI,1294
Todesfälle,1270
Bayern,1233
Politik,1229
Behörden,1201
Schulen,1193
Russland,1187
Corona-Pandemie,1186
Hauptstadt,1161
Wahl,1149
Hamburger,1146
China,1085
Arbeit,1070
Krise,1035
Bundesregierung,1032
Situation,1024
Partei,1021
Donald,1019
Lockdown,994
Mitte,992
