word,frequency
Klimawandel,228
Deutschland,214
CO,128
Euro,114
Europa,92
Trump,88
Wasser,83
Biden,83
Unternehmen,80
Klimaschutz,79
USA,75
Forscher,69
Zukunft,68
Grünen,68
Wirtschaft,67
Partei,66
Leben,64
Geld,63
Deutschen,61
Kilometer,60
Hamburg,60
Sommer,59
Politik,56
SPD,55
EU,54
Landwirtschaft,50
Wissenschaftler,49
Boll,49
Klima,48
Wissenschaft,48
Berlin,47
Erde,47
Studie,46
Kalifornien,45
Gesellschaft,45
Grad,44
Tonnen,44
CDU,43
Future,42
Pandemie,42
China,41
Wald,40
Sicherheit,40
Problem,40
Siemens,40
EUKommission,39
Umwelt,39
Meter,38
Fridays,38
Atmosphäre,37
