word,frequency
Trump,439
Polizei,336
Rassismus,307
Biden,259
USA,198
Polizisten,171
Deutschland,136
Floyd,111
Präsident,108
Polizeigewalt,96
Donald,95
Debatte,94
Harris,94
Studie,86
Berlin,83
Gesellschaft,83
Joe,80
Seehofer,78
Obama,78
Blake,75
Leben,70
Demonstranten,70
George,67
Proteste,66
Amerika,63
Gewalt,63
Kenosha,63
Familie,62
Partei,62
Demokraten,61
Juden,60
James,60
Wahl,59
Kritik,59
Kampf,55
Medien,55
SPD,55
Problem,53
Rede,53
Tod,52
Antisemitismus,52
Angeles,51
Politik,49
Beamten,49
Pence,49
Freiheit,48
Fälle,48
Berliner,48
Frauen,48
Spieler,47
