word,frequency
Deutschland,3100
Trump,2663
USA,1575
Polizei,1495
Euro,1474
Regierung,1430
Berlin,1365
Pandemie,1068
Präsident,1061
Unternehmen,1010
Donald,1006
EU,977
Daten,936
Kinder,929
Frauen,924
Biden,892
Leben,890
Coronavirus,862
Bundesregierung,840
Belarus,813
Lukaschenko,778
Russland,774
Wahl,752
Merkel,738
Corona,721
Maßnahmen,711
Virus,709
Behörden,699
Coronakrise,694
Politik,662
Coronapandemie,659
Partei,651
Kritik,630
Europa,628
Berliner,623
Türkei,606
Arbeit,597
Deutschen,596
Nawalny,576
Geld,571
China,568
Proteste,561
Frankreich,546
Polizisten,535
Präsidenten,532
Schulen,528
Familie,522
Krise,519
Wirtschaft,519
Gesellschaft,509
