word,frequency
Klimawandel,203
Deutschland,137
Trump,109
Biden,101
Pandemie,61
Wasser,60
Feuer,60
Kalifornien,60
Merkel,56
USA,55
Wald,55
Bäume,54
Regierung,52
Politik,48
Grad,48
Zukunft,46
Präsident,46
Brände,44
EU,41
Klimaschutz,41
Corona,41
Waldbrände,41
Europa,37
Maßnahmen,37
Leben,37
Euro,36
Krise,36
Studie,35
Donald,35
Erderwärmung,35
Fridays,35
Aktivisten,35
China,34
Future,34
Kampf,34
Tiere,34
Coronapandemie,33
Wirtschaft,33
Unternehmen,33
Bundesregierung,32
Coronakrise,32
Klima,32
Natur,31
Arktis,31
Trockenheit,31
Problem,30
Pariser,30
Temperaturen,29
Klimakrise,28
Bevölkerung,28
