word,frequency
Polizei,331
Rassismus,322
Trump,248
Polizisten,183
Biden,159
Deutschland,121
USA,118
Donald,92
Seehofer,85
Rechtsextremismus,84
Polizeigewalt,84
Blake,75
Studie,71
Familie,67
Proteste,63
Kenosha,63
Gewalt,62
Schwarzen,62
Schwarze,62
Gesellschaft,61
Joe,61
Frauen,58
George,56
Tod,55
Leben,53
Floyd,53
Problem,50
Präsident,50
Berlin,50
New,49
Harris,49
Arbeit,45
Horst,44
Wisconsin,44
Mutter,43
Sicherheitsbehörden,42
Kritik,42
Polizist,42
Demonstranten,40
Beamten,39
Kinder,39
Jacob,39
Reul,38
Taylor,38
Portland,37
Debatte,36
Rede,36
Wahl,35
York,35
Angst,35
